From	To	Species	Gene Name
P14621	ENSG00000170634	Homo sapiens	acylphosphatase 2(ACYP2)
Q8N1B4	ENSG00000228425	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8N1B4	ENSG00000236014	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8N1B4	ENSG00000224455	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8N1B4	ENSG00000223501	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8N1B4	ENSG00000225590	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8N1B4	ENSG00000223618	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8N1B4	ENSG00000206286	Homo sapiens	VPS52 subunit of GARP complex(VPS52)
Q8TCT7	ENSG00000005206	Homo sapiens	signal peptide peptidase like 2B(SPPL2B)
Q53EP0	ENSG00000075420	Homo sapiens	fibronectin type III domain containing 3B(FNDC3B)
Q8TCT8	ENSG00000138600	Homo sapiens	signal peptide peptidase like 2A(SPPL2A)
Q8TCT9	ENSG00000101294	Homo sapiens	histocompatibility minor 13(HM13)
Q2M1P5	ENSG00000166813	Homo sapiens	kinesin family member 7(KIF7)
P02656	ENSG00000110245	Homo sapiens	apolipoprotein C3(APOC3)
Q15257	ENSG00000119383	Homo sapiens	protein phosphatase 2 phosphatase activator(PTPA)
Q08AF3	ENSG00000166750	Homo sapiens	schlafen family member 5(SLFN5)
Q7L0Y3	ENSG00000174173	Homo sapiens	tRNA methyltransferase 10C, mitochondrial RNase P subunit(TRMT10C)
Q9P0V9	ENSG00000186522	Homo sapiens	septin 10(SEPTIN10)
Q96FN4	ENSG00000140848	Homo sapiens	copine 2(CPNE2)
P57721	ENSG00000183570	Homo sapiens	poly(rC) binding protein 3(PCBP3)
P18124	ENSG00000147604	Homo sapiens	ribosomal protein L7(RPL7)
O43837	ENSG00000101365	Homo sapiens	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta(IDH3B)
Q8N183	ENSG00000164182	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 2(NDUFAF2)
Q7RTN6	ENSG00000266173	Homo sapiens	STE20 related adaptor alpha(STRADA)
Q9BZQ8	ENSG00000135842	Homo sapiens	niban apoptosis regulator 1(NIBAN1)
P07477	ENSG00000204983	Homo sapiens	serine protease 1(PRSS1)
P07477	ENSG00000274247	Homo sapiens	serine protease 1(PRSS1)
Q9BZQ6	ENSG00000116406	Homo sapiens	ER degradation enhancing alpha-mannosidase like protein 3(EDEM3)
Q8NB90	ENSG00000145375	Homo sapiens	AFG2 AAA ATPase homolog A(AFG2A)
P57737	ENSG00000262246	Homo sapiens	coronin 7(CORO7)
P57737	ENSG00000282725	Homo sapiens	coronin 7(CORO7)
Q9P0W2	ENSG00000064961	Homo sapiens	high mobility group 20B(HMG20B)
Q8TCJ2	ENSG00000163527	Homo sapiens	STT3 oligosaccharyltransferase complex catalytic subunit B(STT3B)
O43847	ENSG00000078618	Homo sapiens	nardilysin convertase(NRDC)
Q8N0V3	ENSG00000101546	Homo sapiens	ribosome binding factor A(RBFA)
P08779	ENSG00000186832	Homo sapiens	keratin 16(KRT16)
P57740	ENSG00000111581	Homo sapiens	nucleoporin 107(NUP107)
O43815	ENSG00000115808	Homo sapiens	striatin(STRN)
Q03252	ENSG00000176619	Homo sapiens	lamin B2(LMNB2)
O43813	ENSG00000115365	Homo sapiens	LanC like glutathione S-transferase 1(LANCL1)
O43819	ENSG00000284194	Homo sapiens	synthesis of cytochrome C oxidase 2(SCO2)
O43818	ENSG00000114767	Homo sapiens	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein(RRP9)
Q8N163	ENSG00000158941	Homo sapiens	cell cycle and apoptosis regulator 2(CCAR2)
Q96FK6	ENSG00000140006	Homo sapiens	WD repeat domain 89(WDR89)
Q8N0U8	ENSG00000196715	Homo sapiens	vitamin K epoxide reductase complex subunit 1 like 1(VKORC1L1)
P21741	ENSG00000110492	Homo sapiens	midkine(MDK)
Q8NAV1	ENSG00000134748	Homo sapiens	pre-mRNA processing factor 38A(PRPF38A)
P19440	ENSG00000100031	Homo sapiens	gamma-glutamyltransferase 1(GGT1)
P19440	ENSG00000100121	Homo sapiens	gamma-glutamyltransferase light chain 2(GGTLC2)
O43823	ENSG00000105127	Homo sapiens	A-kinase anchoring protein 8(AKAP8)
O43822	ENSG00000160226	Homo sapiens	cilia and flagella associated protein 410(CFAP410)
O43826	ENSG00000137700	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
O43826	ENSG00000281500	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
Q8NB78	ENSG00000165097	Homo sapiens	lysine demethylase 1B(KDM1B)
P19447	ENSG00000163161	Homo sapiens	ERCC excision repair 3, TFIIH core complex helicase subunit(ERCC3)
O43824	ENSG00000178605	Homo sapiens	GTP binding protein 6 (putative)(GTPBP6)
O43824	ENSG00000292358	Homo sapiens	GTP binding protein 6 (putative)(GTPBP6)
P68402	ENSG00000168092	Homo sapiens	platelet activating factor acetylhydrolase 1b catalytic subunit 2(PAFAH1B2)
O43829	ENSG00000198081	Homo sapiens	zinc finger and BTB domain containing 14(ZBTB14)
P68400	ENSG00000101266	Homo sapiens	casein kinase 2 alpha 1(CSNK2A1)
Q8TCG1	ENSG00000163507	Homo sapiens	cellular inhibitor of PP2A(CIP2A)
Q96FJ2	ENSG00000264364	Homo sapiens	dynein light chain LC8-type 2(DYNLL2)
Q8N0T1	ENSG00000176731	Homo sapiens	ribosomal biogenesis factor(RBIS)
Q712K3	ENSG00000107341	Homo sapiens	ubiquitin conjugating enzyme E2 R2(UBE2R2)
P06132	ENSG00000126088	Homo sapiens	uroporphyrinogen decarboxylase(UROD)
Q9BZV1	ENSG00000167671	Homo sapiens	UBX domain protein 6(UBXN6)
P62280	ENSG00000142534	Homo sapiens	ribosomal protein S11(RPS11)
P03905	ENSG00000198886	Homo sapiens	mitochondrially encoded NADH dehydrogenase 4(MT-ND4)
P62277	ENSG00000110700	Homo sapiens	ribosomal protein S13(RPS13)
P62273	ENSG00000213741	Homo sapiens	ribosomal protein S29(RPS29)
Q9P0S2	ENSG00000133983	Homo sapiens	cytochrome c oxidase assembly factor COX16(COX16)
Q96G25	ENSG00000159479	Homo sapiens	mediator complex subunit 8(MED8)
P03915	ENSG00000198786	Homo sapiens	mitochondrially encoded NADH dehydrogenase 5(MT-ND5)
Q96G28	ENSG00000163001	Homo sapiens	cilia and flagella associated protein 36(CFAP36)
O43805	ENSG00000176101	Homo sapiens	SS nuclear autoantigen 1(SSNA1)
Q96G21	ENSG00000136718	Homo sapiens	IMP U3 small nucleolar ribonucleoprotein 4(IMP4)
Q96G21	ENSG00000196497	Homo sapiens	importin 4(IPO4)
Q96G21	ENSG00000285248	Homo sapiens	importin 4(IPO4)
Q96G23	ENSG00000143418	Homo sapiens	ceramide synthase 2(CERS2)
O43809	ENSG00000167005	Homo sapiens	nudix hydrolase 21(NUDT21)
O43808	ENSG00000100372	Homo sapiens	solute carrier family 25 member 17(SLC25A17)
Q8N0Z6	ENSG00000136319	Homo sapiens	tetratricopeptide repeat domain 5(TTC5)
Q9UQE7	ENSG00000108055	Homo sapiens	structural maintenance of chromosomes 3(SMC3)
Q8N0Z8	ENSG00000169972	Homo sapiens	pseudouridine synthase like 1(PUSL1)
Q6P2Q9	ENSG00000274442	Homo sapiens	pre-mRNA processing factor 8(PRPF8)
Q6P2Q9	ENSG00000174231	Homo sapiens	pre-mRNA processing factor 8(PRPF8)
Q7RTP6	ENSG00000243156	Homo sapiens	microtubule associated monooxygenase, calponin and LIM domain containing 3(MICAL3)
Q9P0T7	ENSG00000116857	Homo sapiens	transmembrane protein 9(TMEM9)
Q7RTP0	ENSG00000288478	Homo sapiens	NIPA magnesium transporter 1(NIPA1)
Q7RTP0	ENSG00000170113	Homo sapiens	NIPA magnesium transporter 1(NIPA1)
O60343	ENSG00000136111	Homo sapiens	TBC1 domain family member 4(TBC1D4)
O60341	ENSG00000004487	Homo sapiens	lysine demethylase 1A(KDM1A)
Q9P0U1	ENSG00000196683	Homo sapiens	translocase of outer mitochondrial membrane 7(TOMM7)
Q9P0U4	ENSG00000154832	Homo sapiens	CXXC finger protein 1(CXXC1)
Q96G03	ENSG00000169299	Homo sapiens	phosphoglucomutase 2(PGM2)
Q96G01	ENSG00000151746	Homo sapiens	BICD cargo adaptor 1(BICD1)
Q8N0X4	ENSG00000125246	Homo sapiens	citramalyl-CoA lyase(CLYBL)
O60353	ENSG00000164930	Homo sapiens	frizzled class receptor 6(FZD6)
Q8N0X7	ENSG00000133104	Homo sapiens	spartin(SPART)
Q71U36	ENSG00000167552	Homo sapiens	tubulin alpha 1a(TUBA1A)
P21796	ENSG00000213585	Homo sapiens	voltage dependent anion channel 1(VDAC1)
P04114	ENSG00000084674	Homo sapiens	apolipoprotein B(APOB)
Q9H0E2	ENSG00000078902	Homo sapiens	toll interacting protein(TOLLIP)
Q9H0E3	ENSG00000136715	Homo sapiens	Sin3A associated protein 130(SAP130)
Q9Y265	ENSG00000175792	Homo sapiens	RuvB like AAA ATPase 1(RUVBL1)
Q9Y265	ENSG00000284901	Homo sapiens	RuvB like AAA ATPase 1(RUVBL1)
P30405	ENSG00000108179	Homo sapiens	peptidylprolyl isomerase F(PPIF)
Q9NSY1	ENSG00000138756	Homo sapiens	BMP2 inducible kinase(BMP2K)
Q9Y266	ENSG00000090273	Homo sapiens	nuclear distribution C, dynein complex regulator(NUDC)
Q9BQ70	ENSG00000141002	Homo sapiens	transcription factor 25(TCF25)
O95551	ENSG00000111802	Homo sapiens	tyrosyl-DNA phosphodiesterase 2(TDP2)
Q9BQ75	ENSG00000184220	Homo sapiens	cms1 ribosomal small subunit homolog(CMSS1)
A0MZ66	ENSG00000187164	Homo sapiens	shootin 1(SHTN1)
Q9HAF1	ENSG00000163875	Homo sapiens	MYST/Esa1 associated factor 6(MEAF6)
Q68E01	ENSG00000143624	Homo sapiens	integrator complex subunit 3(INTS3)
Q68E01	ENSG00000262826	Homo sapiens	integrator complex subunit 3(INTS3)
Q9H0D6	ENSG00000088930	Homo sapiens	5'-3' exoribonuclease 2(XRN2)
P05455	ENSG00000138385	Homo sapiens	small RNA binding exonuclease protection factor La(SSB)
Q9UGM6	ENSG00000116874	Homo sapiens	tryptophanyl tRNA synthetase 2, mitochondrial(WARS2)
Q9BQ69	ENSG00000133315	Homo sapiens	mono-ADP ribosylhydrolase 1(MACROD1)
Q9BQ67	ENSG00000105447	Homo sapiens	glutamate rich WD repeat containing 1(GRWD1)
Q9Y276	ENSG00000074582	Homo sapiens	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone(BCS1L)
Q9Y277	ENSG00000078668	Homo sapiens	voltage dependent anion channel 3(VDAC3)
O95568	ENSG00000171806	Homo sapiens	methyltransferase 18, RPL3 N3(tau)-histidine(METTL18)
Q9BQ61	ENSG00000123144	Homo sapiens	telomerase RNA component interacting RNase(TRIR)
Q06136	ENSG00000119537	Homo sapiens	3-ketodihydrosphingosine reductase(KDSR)
O95562	ENSG00000213064	Homo sapiens	SFT2 domain containing 2(SFT2D2)
Q9BPU6	ENSG00000157851	Homo sapiens	dihydropyrimidinase like 5(DPYSL5)
O95563	ENSG00000143158	Homo sapiens	mitochondrial pyruvate carrier 2(MPC2)
P16104	ENSG00000188486	Homo sapiens	H2A.X variant histone(H2AX)
Q6PJT7	ENSG00000100722	Homo sapiens	zinc finger CCCH-type containing 14(ZC3H14)
Q99598	ENSG00000116918	Homo sapiens	translin associated factor X(TSNAX)
Q9H0C8	ENSG00000132323	Homo sapiens	ILK associated serine/threonine phosphatase(ILKAP)
Q9Y285	ENSG00000179115	Homo sapiens	phenylalanyl-tRNA synthetase subunit alpha(FARSA)
O15400	ENSG00000079950	Homo sapiens	syntaxin 7(STX7)
A6NHL2	ENSG00000178462	Homo sapiens	tubulin alpha like 3(TUBAL3)
Q9Y281	ENSG00000165410	Homo sapiens	cofilin 2(CFL2)
Q9Y282	ENSG00000125991	Homo sapiens	ERGIC and golgi 3(ERGIC3)
P05423	ENSG00000168495	Homo sapiens	RNA polymerase III subunit D(POLR3D)
Q9UGN5	ENSG00000129484	Homo sapiens	poly(ADP-ribose) polymerase 2(PARP2)
P06756	ENSG00000138448	Homo sapiens	integrin subunit alpha V(ITGAV)
Q5H8A4	ENSG00000174227	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group)(PIGG)
Q9Y287	ENSG00000136156	Homo sapiens	integral membrane protein 2B(ITM2B)
Q9Y289	ENSG00000138074	Homo sapiens	solute carrier family 5 member 6(SLC5A6)
Q06124	ENSG00000179295	Homo sapiens	protein tyrosine phosphatase non-receptor type 11(PTPN11)
O95573	ENSG00000123983	Homo sapiens	acyl-CoA synthetase long chain family member 3(ACSL3)
Q9HAD4	ENSG00000164253	Homo sapiens	WD repeat domain 41(WDR41)
Q99590	ENSG00000139218	Homo sapiens	SR-related CTD associated factor 11(SCAF11)
Q6NUM9	ENSG00000042445	Homo sapiens	retinol saturase(RETSAT)
O95571	ENSG00000105755	Homo sapiens	ETHE1 persulfide dioxygenase(ETHE1)
Q9BQ52	ENSG00000006744	Homo sapiens	elaC ribonuclease Z 2(ELAC2)
A0AVT1	ENSG00000033178	Homo sapiens	ubiquitin like modifier activating enzyme 6(UBA6)
Q99584	ENSG00000189171	Homo sapiens	S100 calcium binding protein A13(S100A13)
Q9Y294	ENSG00000111875	Homo sapiens	anti-silencing function 1A histone chaperone(ASF1A)
Q9Y295	ENSG00000185721	Homo sapiens	developmentally regulated GTP binding protein 1(DRG1)
Q9H0B6	ENSG00000174996	Homo sapiens	kinesin light chain 2(KLC2)
Q9Y296	ENSG00000196655	Homo sapiens	trafficking protein particle complex subunit 4(TRAPPC4)
Q9Y296	ENSG00000280495	Homo sapiens	trafficking protein particle complex subunit 4(TRAPPC4)
Q86SZ2	ENSG00000182400	Homo sapiens	trafficking protein particle complex subunit 6B(TRAPPC6B)
Q9Y291	ENSG00000090263	Homo sapiens	mitochondrial ribosomal protein S33(MRPS33)
Q9UH03	ENSG00000100167	Homo sapiens	septin 3(SEPTIN3)
P29401	ENSG00000163931	Homo sapiens	transketolase(TKT)
Q9BQ48	ENSG00000130312	Homo sapiens	mitochondrial ribosomal protein L34(MRPL34)
O15431	ENSG00000136868	Homo sapiens	solute carrier family 31 member 1(SLC31A1)
Q86SX6	ENSG00000182512	Homo sapiens	glutaredoxin 5(GLRX5)
Q9BQ49	ENSG00000214046	Homo sapiens	small integral membrane protein 7(SMIM7)
Q9BQ49	ENSG00000268790	Homo sapiens	small integral membrane protein 7(SMIM7)
P55735	ENSG00000157020	Homo sapiens	SEC13 homolog, nuclear pore and COPII coat complex component(SEC13)
P18754	ENSG00000180198	Homo sapiens	regulator of chromosome condensation 1(RCC1)
Q99575	ENSG00000104356	Homo sapiens	POP1 homolog, ribonuclease P/MRP subunit(POP1)
Q99576	ENSG00000157514	Homo sapiens	TSC22 domain family member 3(TSC22D3)
Q96N11	ENSG00000146576	Homo sapiens	integrator complex subunit 15(INTS15)
Q9H0A8	ENSG00000140365	Homo sapiens	COMM domain containing 4(COMMD4)
Q9UGP5	ENSG00000166169	Homo sapiens	DNA polymerase lambda(POLL)
Q9UGP4	ENSG00000144791	Homo sapiens	LIM domain containing 1(LIMD1)
Q9Y221	ENSG00000132603	Homo sapiens	nucleolar pre-rRNA processing protein NIP7(NIP7)
Q9UGH3	ENSG00000089057	Homo sapiens	solute carrier family 23 member 2(SLC23A2)
Q9Y223	ENSG00000159921	Homo sapiens	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase(GNE)
Q9Y224	ENSG00000087302	Homo sapiens	RNA transcription, translation and transport factor(RTRAF)
Q96MX6	ENSG00000243667	Homo sapiens	dynein axonemal assembly factor 10(DNAAF10)
Q0PNE2	ENSG00000163832	Homo sapiens	elongator acetyltransferase complex subunit 6(ELP6)
Q9NT62	ENSG00000144848	Homo sapiens	autophagy related 3(ATG3)
Q96MX3	ENSG00000180035	Homo sapiens	zinc finger protein 48(ZNF48)
O60888	ENSG00000112514	Homo sapiens	cutA divalent cation tolerance homolog(CUTA)
O60888	ENSG00000226492	Homo sapiens	cutA divalent cation tolerance homolog(CUTA)
O60885	ENSG00000141867	Homo sapiens	bromodomain containing 4(BRD4)
Q9HAJ7	ENSG00000164576	Homo sapiens	SAP30 like(SAP30L)
Q9BPZ3	ENSG00000120727	Homo sapiens	poly(A) binding protein interacting protein 2(PAIP2)
O60884	ENSG00000069345	Homo sapiens	DnaJ heat shock protein family (Hsp40) member A2(DNAJA2)
Q6NUS6	ENSG00000119977	Homo sapiens	tectonic family member 3(TCTN3)
Q9Y230	ENSG00000183207	Homo sapiens	RuvB like AAA ATPase 2(RUVBL2)
P61586	ENSG00000067560	Homo sapiens	ras homolog family member A(RHOA)
P05496	ENSG00000159199	Homo sapiens	ATP synthase membrane subunit c locus 1(ATP5MC1)
P05496	ENSG00000135390	Homo sapiens	ATP synthase membrane subunit c locus 2(ATP5MC2)
Q9H0H5	ENSG00000161800	Homo sapiens	Rac GTPase activating protein 1(RACGAP1)
Q9Y237	ENSG00000102309	Homo sapiens	peptidylprolyl cis/trans isomerase, NIMA-interacting 4(PIN4)
Q9Y232	ENSG00000153046	Homo sapiens	chromodomain Y like(CDYL)
Q9H0H0	ENSG00000108506	Homo sapiens	integrator complex subunit 2(INTS2)
Q9H0H3	ENSG00000183655	Homo sapiens	kelch like family member 25(KLHL25)
Q96MW5	ENSG00000213380	Homo sapiens	component of oligomeric golgi complex 8(COG8)
Q15907	ENSG00000185236	Homo sapiens	RAB11B, member RAS oncogene family(RAB11B)
Q15906	ENSG00000163159	Homo sapiens	vacuolar protein sorting 72 homolog(VPS72)
Q9UGI8	ENSG00000135269	Homo sapiens	testin LIM domain protein(TES)
Q9BPY3	ENSG00000197798	Homo sapiens	family with sequence similarity 118 member B(FAM118B)
Q15904	ENSG00000071553	Homo sapiens	ATPase H+ transporting accessory protein 1(ATP6AP1)
Q5M775	ENSG00000128487	Homo sapiens	sperm antigen with calponin homology and coiled-coil domains 1(SPECC1)
Q9NSV4	ENSG00000139734	Homo sapiens	diaphanous related formin 3(DIAPH3)
Q08752	ENSG00000171497	Homo sapiens	peptidylprolyl isomerase D(PPID)
Q96MW1	ENSG00000180329	Homo sapiens	coiled-coil domain containing 43(CCDC43)
P16152	ENSG00000159228	Homo sapiens	carbonyl reductase 1(CBR1)
Q5C9Z4	ENSG00000146909	Homo sapiens	nucleolar protein with MIF4G domain 1(NOM1)
P17482	ENSG00000170689	Homo sapiens	homeobox B9(HOXB9)
Q8N8A6	ENSG00000185163	Homo sapiens	DEAD-box helicase 51(DDX51)
Q8N8A6	ENSG00000288503	Homo sapiens	DEAD-box helicase 51(DDX51)
O60890	ENSG00000079482	Homo sapiens	oligophrenin 1(OPHN1)
P61599	ENSG00000173418	Homo sapiens	N-alpha-acetyltransferase 20, NatB catalytic subunit(NAA20)
P17480	ENSG00000108312	Homo sapiens	upstream binding transcription factor(UBTF)
Q6ZXV5	ENSG00000139324	Homo sapiens	transmembrane O-mannosyltransferase targeting cadherins 3(TMTC3)
P04179	ENSG00000291237	Homo sapiens	superoxide dismutase 2(SOD2)
P04179	ENSG00000285427	Homo sapiens	SOD2 overlapping transcript 1(SOD2-OT1)
Q15910	ENSG00000106462	Homo sapiens	enhancer of zeste 2 polycomb repressive complex 2 subunit(EZH2)
Q9Y248	ENSG00000131153	Homo sapiens	GINS complex subunit 2(GINS2)
Q9UGJ1	ENSG00000137822	Homo sapiens	tubulin gamma complex component 4(TUBGCP4)
Q9H0G5	ENSG00000126653	Homo sapiens	nuclear speckle splicing regulatory protein 1(NSRP1)
Q9Y243	ENSG00000117020	Homo sapiens	AKT serine/threonine kinase 3(AKT3)
Q9Y243	ENSG00000275199	Homo sapiens	AKT serine/threonine kinase 3(AKT3)
Q9Y244	ENSG00000132963	Homo sapiens	proteasome maturation protein(POMP)
Q9BQ95	ENSG00000130159	Homo sapiens	ECSIT signaling integrator(ECSIT)
Q9BPX5	ENSG00000136950	Homo sapiens	actin related protein 2/3 complex subunit 5 like(ARPC5L)
Q9BPX3	ENSG00000109805	Homo sapiens	non-SMC condensin I complex subunit G(NCAPG)
P31751	ENSG00000105221	Homo sapiens	AKT serine/threonine kinase 2(AKT2)
O60869	ENSG00000107223	Homo sapiens	endothelial differentiation related factor 1(EDF1)
Q9HAH7	ENSG00000156860	Homo sapiens	fibrosin(FBRS)
Q9BPX6	ENSG00000107745	Homo sapiens	mitochondrial calcium uptake 1(MICU1)
P84243	ENSG00000163041	Homo sapiens	H3.3 histone A(H3-3A)
P84243	ENSG00000132475	Homo sapiens	H3.3 histone B(H3-3B)
Q96N67	ENSG00000116641	Homo sapiens	dedicator of cytokinesis 7(DOCK7)
Q96MU7	ENSG00000083896	Homo sapiens	YTH N6-methyladenosine RNA binding protein C1(YTHDC1)
Q96MU7	ENSG00000275272	Homo sapiens	YTH N6-methyladenosine RNA binding protein C1(YTHDC1)
Q96N66	ENSG00000277733	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000277923	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000275118	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000125505	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000273592	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000278519	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000276935	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000274194	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000278322	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q96N66	ENSG00000277025	Homo sapiens	membrane bound O-acyltransferase domain containing 7(MBOAT7)
Q6NUQ4	ENSG00000119777	Homo sapiens	transmembrane protein 214(TMEM214)
Q6NUQ1	ENSG00000135249	Homo sapiens	RAD50 interactor 1(RINT1)
Q9H0F7	ENSG00000113966	Homo sapiens	ADP ribosylation factor like GTPase 6(ARL6)
Q9Y259	ENSG00000100288	Homo sapiens	choline kinase beta(CHKB)
P30414	ENSG00000114857	Homo sapiens	natural killer cell triggering receptor(NKTR)
P31749	ENSG00000142208	Homo sapiens	AKT serine/threonine kinase 1(AKT1)
P30419	ENSG00000136448	Homo sapiens	N-myristoyltransferase 1(NMT1)
Q96N64	ENSG00000170234	Homo sapiens	PWWP domain containing 2A(PWWP2A)
Q9BPW8	ENSG00000184117	Homo sapiens	nipsnap homolog 1(NIPSNAP1)
O60879	ENSG00000147202	Homo sapiens	diaphanous related formin 2(DIAPH2)
O60870	ENSG00000151657	Homo sapiens	Kin17 DNA and RNA binding protein(KIN)
P04150	ENSG00000113580	Homo sapiens	nuclear receptor subfamily 3 group C member 1(NR3C1)
Q9Y262	ENSG00000100129	Homo sapiens	eukaryotic translation initiation factor 3 subunit L(EIF3L)
Q9H0E9	ENSG00000112983	Homo sapiens	bromodomain containing 8(BRD8)
Q9Y263	ENSG00000137055	Homo sapiens	phospholipase A2 activating protein(PLAA)
P04156	ENSG00000171867	Homo sapiens	prion protein (Kanno blood group)(PRNP)
A6NHR9	ENSG00000101596	Homo sapiens	structural maintenance of chromosomes flexible hinge domain containing 1(SMCHD1)
P50895	ENSG00000187244	Homo sapiens	basal cell adhesion molecule (Lutheran blood group)(BCAM)
P50897	ENSG00000131238	Homo sapiens	palmitoyl-protein thioesterase 1(PPT1)
O60841	ENSG00000158417	Homo sapiens	eukaryotic translation initiation factor 5B(EIF5B)
Q99523	ENSG00000134243	Homo sapiens	sortilin 1(SORT1)
P62879	ENSG00000172354	Homo sapiens	G protein subunit beta 2(GNB2)
P62873	ENSG00000078369	Homo sapiens	G protein subunit beta 1(GNB1)
P62875	ENSG00000177700	Homo sapiens	RNA polymerase II, I and III subunit L(POLR2L)
P23284	ENSG00000166794	Homo sapiens	peptidylprolyl isomerase B(PPIB)
P06702	ENSG00000163220	Homo sapiens	S100 calcium binding protein A9(S100A9)
P36578	ENSG00000174444	Homo sapiens	ribosomal protein L4(RPL4)
P35244	ENSG00000106399	Homo sapiens	replication protein A3(RPA3)
O60858	ENSG00000204977	Homo sapiens	tripartite motif containing 13(TRIM13)
Q8NHV4	ENSG00000139350	Homo sapiens	NEDD1 gamma-tubulin ring complex targeting factor(NEDD1)
P35249	ENSG00000163918	Homo sapiens	replication factor C subunit 4(RFC4)
Q7L7V1	ENSG00000089876	Homo sapiens	DEAH-box helicase 32 (putative)(DHX32)
P35250	ENSG00000049541	Homo sapiens	replication factor C subunit 2(RFC2)
Q8NHU6	ENSG00000196116	Homo sapiens	tudor domain containing 7(TDRD7)
Q68DH5	ENSG00000164187	Homo sapiens	LMBR1 domain containing 2(LMBRD2)
P35251	ENSG00000035928	Homo sapiens	replication factor C subunit 1(RFC1)
P48556	ENSG00000099341	Homo sapiens	proteasome 26S subunit, non-ATPase 8(PSMD8)
P62888	ENSG00000156482	Homo sapiens	ribosomal protein L30(RPL30)
Q99519	ENSG00000227315	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000184494	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000234846	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000227129	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000223957	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000228691	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000204386	Homo sapiens	neuraminidase 1(NEU1)
Q99519	ENSG00000234343	Homo sapiens	neuraminidase 1(NEU1)
P47224	ENSG00000183155	Homo sapiens	RAB interacting factor(RABIF)
P60228	ENSG00000104408	Homo sapiens	eukaryotic translation initiation factor 3 subunit E(EIF3E)
Q86T24	ENSG00000177485	Homo sapiens	zinc finger and BTB domain containing 33(ZBTB33)
Q86SQ0	ENSG00000144824	Homo sapiens	pleckstrin homology like domain family B member 2(PHLDB2)
P48553	ENSG00000160218	Homo sapiens	trafficking protein particle complex subunit 10(TRAPPC10)
Q719H9	ENSG00000134504	Homo sapiens	potassium channel tetramerization domain containing 1(KCTD1)
O60828	ENSG00000102103	Homo sapiens	polyglutamine binding protein 1(PQBP1)
O60825	ENSG00000123836	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)
O60826	ENSG00000101997	Homo sapiens	coiled-coil domain containing 22(CCDC22)
Q8NI60	ENSG00000163050	Homo sapiens	coenzyme Q8A(COQ8A)
P35237	ENSG00000124570	Homo sapiens	serpin family B member 6(SERPINB6)
Q5F1R6	ENSG00000168724	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C21(DNAJC21)
P62891	ENSG00000198918	Homo sapiens	ribosomal protein L39(RPL39)
P11274	ENSG00000186716	Homo sapiens	BCR activator of RhoGEF and GTPase(BCR)
P35241	ENSG00000137710	Homo sapiens	radixin(RDX)
P35240	ENSG00000186575	Homo sapiens	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor(NF2)
P62899	ENSG00000071082	Homo sapiens	ribosomal protein L31(RPL31)
Q99504	ENSG00000158161	Homo sapiens	EYA transcriptional coactivator and phosphatase 3(EYA3)
P23246	ENSG00000116560	Homo sapiens	splicing factor proline and glutamine rich(SFPQ)
P23246	ENSG00000250685	Homo sapiens	splicing factor proline/glutamine-rich(LOC654780)
Q9Y217	ENSG00000139505	Homo sapiens	myotubularin related protein 6(MTMR6)
