id,name,Abbreviation,EC Number,SUBSYSTEM,Description,Equation,Lower Bound,Upper Bound,μmol/min/gDW,Recon2,Recon2 Formula,KEGG,Gene symbol,Ensembl,HGNC,Gene Name,RNAseq Expression (FPKM),Immunohistochemisty,In list?,Score
R_OIVD2m,branched-chain α-ketoacid dehydrogenase complex,OIVD2m,"1.2.4.4, 2.3.1.168, 1.8.1.4",Valine degradation,NAD+ + CoA + 3-Methyl-2-oxobutanoicacid -> NADH + CO2 + 2-Methylpropanoyl-CoA,M_nad_m + M_coa_m + M_3mob_m --> M_nadh_m + M_co2_m + M_ibcoa_m,0.0,1000.0,0.011,OIVD2m,nad[m] + coa[m] + 3mob[m] -> nadh[m] + co2[m] + ibcoa[m],"R07599, R07600, R02662, R07618",BCKDHA and BCKDHB and DBT and DLD,ENSG00000248098 and ENSG00000083123 and ENSG00000137992 and ENSG00000091140,HGNC:986 and HGNC:987 and HGNC:2698 and HGNC:2898,branched-chain α-ketoacid dehydrogenase complex,Medium and Medium and Low and High,High and Low and Medium and High,"TRUE, TRUE, TRUE, TRUE","34.1724, 32.7672, 39.2448, 31.2307"
R_r0560,acyl-CoA dehydrogenase,r0560,1.3.8.1,Valine degradation,2-Methylpropanoyl-CoA + Q --> 2-Methylprop-2-enoyl-CoA + QH2,M_ibcoa_m + M_q10_m --> M_2mp2coa_m + M_q10h2_m,0.0,1000.0,0.011,r0560,ibcoa[m] + q10[m] -> 2mp2coa[m] + q10h2[m],R02661,ACADS,ENSG00000122971,HGNC:90,acyl-CoA dehydrogenase,Medium,High,True,32.6104
R_ECOAH12m,"enoyl CoA hydratase, short chain",ECOAH12m,4.2.1.17,Valine degradation,2-Methylprop-2-enoyl-CoA + H2O --> (S)-3-Hydroxyisobutyryl-CoA,M_h2o_m + M_2mp2coa_m --> M_3hibutcoa_m,-1000.0,1000.0,0.011,ECOAH12m,h2o[m] + 2mp2coa[m] --> 3hibutcoa[m],R04224,ECHS1,ENSG00000127884,HGNC:3151,"enoyl CoA hydratase, short chain",High,High,True,33.7065
R_3HBCOAHLm,3-hydroxyisobutyryl-CoA hydrolase,3HBCOAHLm,3.2.1.4,Valine degradation,(S)-3-Hydroxyisobutyryl-CoA + H2O --> CoA + (S)-3-Hydroxyisobutyrate,M_h2o_m + M_3hibutcoa_m --> M_h_m + M_coa_m + M_3hmp_m,-1000.0,1000.0,0.011,3HBCOAHLm,h2o[m] + 3hibutcoa[m] -> h[m] + coa[m] + 3hmp[m],R05064,HIBCH,ENSG00000198130,HGNC:4908,3-hydroxyisobutyryl-CoA hydrolase,Medium,Low,True,29.7511
R_HIBDm,3-hydroxyisobutyrate dehydrogenase,HIBDm,1.1.1.31 or 1.1.1.35,Valine degradation,(S)-3-Hydroxyisobutyrate + NAD+ --> (S)-Methylmalonatesemialdehyde + NADH + H+,M_nad_m + M_3hmp_m --> M_h_m + M_nadh_m + M_2mop_m,-1000.0,1000.0,0.011,HIBDm,nad[m] + 3hmp[m] --> h[m] + nadh[m] + 2mop[m],R05066,HIBADH or HADH,ENSG00000106049 or ENSG00000138796,HGNC:4907 or HGNC:4799,3-hydroxyisobutyrate dehydrogenase,Medium or High,High or High,"TRUE, TRUE","24.0796, 28.0734"
R_ACCOALm,acyl-CoA synthetase short-chain family member 3,ACCOALm,6.2.1.1,Propanoate metabolism,ATP + Propanoate + CoA --> AMP + Diphosphate + Propanoyl-CoA,M_atp_m + M_coa_m + M_ppa_m --> M_amp_m + M_ppi_m + M_ppcoa_m,0.0,1000.0,0.0,ACCOALm,atp[m] + coa[m] + ppa[m] -> amp[m] + ppi[m] + ppcoa[m],R00925,ACSS3,ENSG00000111058,HGNC:24723,acyl-CoA synthetase short-chain family member 3,Low,Not detected,True,7.6981
R_MMSAD1m, methylmalonate-semialdehyde dehydrogenase,MMSAD1m,1.2.1.27,Propanoate metabolism,(S)-Methylmalonatesemialdehyde + CoA + NAD+ --> Propanoyl-CoA + CO2 + NADH + H+,M_nad_m + M_coa_m + M_2mop_m --> M_nadh_m + M_co2_m + M_ppcoa_m,0.0,1000.0,0.011,MMSAD1m,nad[m] + coa[m] + 2mop[m] -> nadh[m] + co2[m] + ppcoa[m],R00935,ALDH6A1,ENSG00000119711,HGNC:7179,"aldehyde dehydrogenase 6 family, member A1",Medium,Not detected,True,23.2735
R_PPCOACm,propionyl-CoA carboxylase,PPCOACm,6.4.1.3,Propanoate metabolism,ATP + Propanoyl-CoA + HCO3- --> ADP + Orthophosphate + (S)-Methylmalonyl-CoA,M_atp_m + M_hco3_m + M_ppcoa_m --> M_h_m + M_adp_m + M_pi_m + M_mmcoa_S_m,0.0,1000.0,0.027,PPCOACm,atp[m] + hco3[m] + ppcoa[m] -> h[m] + adp[m] + pi[m] + mmcoa_S[m],R01859,PCCA and PCCB,ENSG00000175198 and ENSG00000114054,HGNC:8653 and HGNC:8654,propionyl CoA carboxylase,Medium and Medium,Medium and Medium,"TRUE, TRUE","24.4144, 24.8143"
R_MMEm,methylmalonyl-CoA epimerase,MMEm,5.1.99.1,Propanoate metabolism,(R)-Methylmalonyl-CoA --> (S)-Methylmalonyl-CoA,M_mmcoa_R_m --> M_mmcoa_S_m,-1000.0,1000.0,-0.027,MMEm,mmcoa_R[m] --> mmcoa_S[m],R02765,MCEE,ENSG00000124370,HGNC:16732,methylmalonyl CoA epimerase,Medium,Medium,True,19.672
R_MMMm,R)-Methylmalonyl-CoA CoA-carbonylmutase,MMMm,5.4.99.2,Propanoate metabolism,(R)-Methylmalonyl-CoA --> Succinyl-CoA,M_mmcoa_R_m --> M_succoa_m,-1000.0,1000.0,0.027,MMMm,mmcoa_R[m] --> succoa[m],R00833,MUT,ENSG00000146085,HGNC:7526,methylmalonyl CoA mutase,Medium,Medium,True,19.6453
R_MMCDm,methylmalonyl-CoA decarboxylase,MMCDm,4.1.1.41,Propanoate synthesis,(S)-Methylmalonyl-CoA --> Propanoyl-CoA + CO2,M_h_m + M_mmcoa_S_m --> M_co2_m + M_ppcoa_m,0.0,1000.0,0.0,MMCDm,h[m] + mmcoa_S[m] -> co2[m] + ppcoa[m],R00923,ECHDC1,ENSG00000093144,HGNC:21489,ethylmalonyl-CoA decarboxylase 1,Medium,Not detected,True,16.2579
R_RE2649M,palmitoyl-CoA hydrolase,RE2649M,3.1.2.2,Propanoate synthesis,H20 + Propanoyl-CoA  -> Propanoate + CoA + H+,M_h2o_m + M_ppcoa_m --> M_h_m + M_coa_m + M_ppa_m,-1000.0,1000.0,0.0,RE2649M,h2o[m] + ppcoa[m] -> h[m] + coa[m] + ppa[m],,ACOT2,ENSG00000119673,HGNC:18431,acyl-CoA thioesterase 2,Medium,High,True,13.6365
R_THRD_L,threonine ammonia-lyase,THRD_L,4.3.1.19,Threonine degradation,L-Threonine --> 2-Oxobutanoate + Ammonia,M_thr_L_c --> M_nh4_c + M_2obut_c,0.0,1000.0,0.012,THRD_L,thr_L[c] -> nh4[c] + 2obut[c],R00996,SDS or SDSL,ENSG00000135094 or ENSG00000139410,HGNC:10691 or HGNC:30404,serine dehydratase,Not detected or Low,Medium or High,False,3.7304
R_r1155,,r1155,,Threonine degradation,2-oxobutanoate transport into mitochondrion,M_h_c + 0.18 M_PMF_c + M_2obut_c --> M_h_m + 0.18 M_PMF_m + M_2obut_m,0.0,1000.0,0.012,r1155,h[c] + 2obut[c] -> h[m] + 2obut[m],,Unknown,Unknown,Unknown,,,,,
R_r1154,branched-chain α-ketoacid dehydrogenase complex,r1154,1.2.4.4 + 2.3.1.168 + 1.8.1.4,Threonine and Methionine degradation,2-Oxobutanoate + CoA + NAD+ --> Propanoyl-CoA + NADH + CO2,M_nad_m + M_2obut_m + M_coa_m --> M_nadh_m + M_co2_m + M_ppcoa_m,0.0,1000.0,0.012,r1154,nad[m] + 2obut[m] + coa[m] --> nadh[m] + co2[m] + ppcoa[m],"R10996, R10997, R10997, R07618",BCKDHA and BCKDHB and DBT and DLD,ENSG00000248098 and ENSG00000083123 and ENSG00000137992 and ENSG00000091140,HGNC:986 and HGNC:987 and HGNC:2698 and HGNC:2898,branched-chain α-ketoacid dehydrogenase complex,Medium and Medium and Low and High,High and Low and Medium and High,"TRUE, TRUE, TRUE, TRUE","34.1724, 32.7672, 39.2448, 31.2307"
R_2HBO,L-lactate dehydrogenase,2HBO,1.1.1.27,Threonine and Methionine degradation,2-Hydroxybutanoic acid + NAD+ --> 2-Oxobutanoate + NADH + H+,M_nad_c + M_2hb_c --> M_h_c + M_nadh_c + M_2obut_c,-1000.0,1000.0,0.0,2HBO,nad[c] + 2hb[c] --> h[c] + nadh[c] + 2obut[c],R01000,LDHB,ENSG00000111716,HGNC:6541,L-lactate dehydrogenase,High,Medium,True,5.2343
R_METAT,methionine adenosyltransferase,METAT,2.5.1.6,Methionine degradation,ATP + L-Methionine + H2O --> Orthophosphate + Diphosphate + S-Adenosyl-L-methionine,M_h2o_c + M_atp_c + M_met_L_c --> M_pi_c + M_amet_c + M_ppi_c,0.0,1000.0,0.0,METAT,h2o[c] + atp[c] + met_L[c] -> pi[c] + amet[c] + ppi[c],R00177,MAT2A,ENSG00000168906,HGNC:6904,"methionine adenosyltransferase II, alpha",High,Not detected,False,-8.2811
R_METAT2_MitoCore,Methyltransferases,METAT2_MitoCore,2.1.1.-,Methionine degradation,S-Adenosyl-L-methionine + demethylated methyl donor --> S-Adenosyl-L-homocysteine + methyl donor,M_amet_c --> M_ahcys_c,0.0,1000.0,0.0,,,,,,,Multiple methyltransferases,,,,
R_AHC,adenosylhomocysteinase,AHC,3.3.1.1,Methionine degradation,S-Adenosyl-L-homocysteine + H2O --> Adenosine + L-Homocysteine,M_h2o_c + M_ahcys_c --> M_adn_c + M_hcys_L_c,0.0,1000.0,0.0,AHC,h2o[c] + ahcys[c] --> adn[c] + hcys_L[c],R00192,AHCY or AHCYL1 or AHCYL2,ENSG00000101444 or ENSG00000168710 or ENSG00000158467,HGNC:343 or HGNC:344 or HGNC:22204,adenosylhomocysteinase,Medium or Medium or Low,Low or Not detected or Not detected,"FALSE, TRUE, FALSE","2.8985, 7.642, -4.7411"
R_ADNK1,adenosine kinase,ADNK1,2.7.1.20,Methionine degradation,ATP + Adenosine --> ADP + AMP,M_atp_c + M_adn_c --> M_h_c + M_adp_c + M_amp_c,-1000.0,1000.0,0.0,ADNK1,atp[c] + adn[c] -> h[c] + adp[c] + amp[c],R00185,ADK,ENSG00000156110,HGNC:257,adenosine kinase,Medium,Low,False,-7.1255
R_CYSTS,cystathionine beta-synthase,CYSTS,4.2.1.22,Methionine and Serine degradation,L-Serine + L-Homocysteine --> L-Cystathionine + H2O,M_hcys_L_c + M_ser_L_c --> M_h2o_c + M_cyst_L_c,-1000.0,1000.0,0.0,CYSTS,hcys_L[c] + ser_L[c] -> h2o[c] + cyst_L[c],R01290,CBS,ENSG00000160200,HGNC:1550,cystathionine-beta-synthase,Low,Not detected,False,3.7481
R_CYSTGL,cystathionine gamma-lyase,CYSTGL,4.4.1.1,Methionine and Serine degradation,L-Cystathionine + H2O --> L-Cysteine + Ammonia + 2-Oxobutanoate,M_h2o_c + M_cyst_L_c --> M_nh4_c + M_2obut_c + M_cys_L_c,0.0,1000.0,0.0,CYSTGL,h2o[c] + cyst_L[c] -> nh4[c] + 2obut[c] + cys_L[c],R01001,CTH,ENSG00000116761,HGNC:2501,cystathionine gamma-lyase,Low,Not detected,False,-3.3441
R_CYSO,cysteine dioxygenase,CYSO,1.13.11.20,Cysteine degradation I,L-Cysteine + Oxygen --> 3-Sulfino-L-alanine,M_o2_c + M_cys_L_c --> 2.0 M_h_c + M_3sala_c,0.0,1000.0,0.0,CYSO,o2[c] + cys_L[c] -> 2.0 h[c] + 3sala[c],R00893,CDO1,ENSG00000129596,HGNC:1795,cysteine dioxygenase type 1,Low,Not detected,False,-5.1848
R_3SALATAi,aspartate transaminase,3SALATAi,2.6.1.1,Cysteine degradation I,3-Sulfino-L-alanine + 2-Oxoglutarate --> 3-Sulfinylpyruvate + L-Glutamate,M_h_c + M_akg_c + M_3sala_c --> M_glu_L_c + M_3snpyr_c,-1000.0,1000.0,0.0,3SALATAi,h[c] + akg[c] + 3sala[c] -> glu_L[c] + 3snpyr[c],R02619,GOT1,ENSG00000120053,HGNC:4432,"glutamic-oxaloacetic transaminase 1, soluble",High,ND,False,-2.9098
R_3SPYRSP,Non-Enzymatic,3SPYRSP,Non-Enzymatic,Cysteine degradation I,3-Sulfinylpyruvate + H2O --> Sulfite + Pyruvate,M_h2o_c + M_3snpyr_c --> M_h_c + M_pyr_c + M_so3_c,-1000.0,1000.0,0.0,3SPYRSP,h2o[c] + 3snpyr[c] -> h[c] + pyr[c] + so3[c],R04861,Non-Enzymatic,Non-Enzymatic,Non-Enzymatic,Non-Enzymatic,,,,
R_CYSTA,aspartate transaminase,CYSTA,2.6.1.1,Cysteine degradation II,L-Cysteine + 2-Oxoglutarate --> Mercaptopyruvate + Glutamate,M_akg_c + M_cys_L_c --> M_glu_L_c + M_mercppyr_c,-1000.0,1000.0,0.0,CYSTA,akg[c] + cys_L[c] --> glu_L[c] + mercppyr[c],R00895,GOT1,ENSG00000120053,HGNC:4432,"glutamic-oxaloacetic transaminase 1, soluble",High,ND,False,-2.9098
R_CYSTAm,aspartate transaminase,CYSTAm,2.6.1.1,Cysteine degradation II,L-Cysteine + 2-Oxoglutarate --> Mercaptopyruvate + Glutamate,M_akg_m + M_cys_L_m --> M_glu_L_m + M_mercppyr_m,-1000.0,1000.0,0.001,CYSTAm,akg[m] + cys_L[m] --> glu_L[m] + mercppyr[m],R00895,GOT2,ENSG00000125166,HGNC:4433,"glutamic-oxaloacetic transaminase 2, mitochondrial",High,High,True,8.8086
R_MCPST,3-mercaptopyruvate sulfurtransferase,MCPST,2.8.1.2,Cysteine degradation II,Hydrogen cyanide + Mercaptopyruvate --> Thiocyanate + Pyruvate,M_cyan_c + M_mercppyr_c --> M_h_c + M_pyr_c + M_tcynt_c,0.0,1000.0,0.0,MCPST,cyan[c] + mercppyr[c] -> h[c] + pyr[c] + tcynt[c],R03106,MPST,ENSG00000128309,HGNC:7223,mercaptopyruvate sulfurtransferase,Medium,Not detected,True,10.759
R_MCPSTm_MitoCore,3-mercaptopyruvate sulfurtransferase,MCPSTm_MitoCore,2.8.1.2,Cysteine degradation II,Hydrogen cyanide + Mercaptopyruvate --> Thiocyanate + Pyruvate,M_cyan_m + M_mercppyr_m --> M_h_m + M_pyr_m + M_tcynt_m,0.0,1000.0,0.0,,,R03106,MPST,ENSG00000128309,HGNC:7223,mercaptopyruvate sulfurtransferase,Medium,Not detected,True,10.759
R_r0595m_MitoCore,3-mercaptopyruvate sulfurtransferase,r0595m_MitoCore,2.8.1.2,Cysteine degradation II,Mercaptopyruvate + Sulfite --> Thiosulfate + Pyruvate,M_h_m + M_so3_m + M_mercppyr_m --> M_pyr_m + M_tsul_m,0.0,1000.0,0.001,,,R03105,MPST,ENSG00000128309,HGNC:7223,mercaptopyruvate sulfurtransferase,Medium,Not detected,True,10.759
R_r0595B_MitoCore,3-mercaptopyruvate sulfurtransferase,r0595B_MitoCore,2.8.1.2,Cysteine degradation II,Mercaptopyruvate + Sulfite --> Thiosulfate + Pyruvate,M_h_c + M_so3_c + M_mercppyr_c --> M_pyr_c + M_tsul_c,0.0,1000.0,0.0,r0595,h[c] + so3[c] + mercppyr[c] -> pyr[c] + HC01501[c],R03105,MPST,ENSG00000128309,HGNC:7223,mercaptopyruvate sulfurtransferase,Medium,Not detected,True,10.759
R_MCLOR,L-lactate dehydrogenase,MCLOR,1.1.1.27,Cysteine degradation II,3-Mercaptolactate + NAD+ --> Mercaptopyruvate + NADH + H+,M_nad_c + M_mercplac_c --> M_h_c + M_nadh_c + M_mercppyr_c,-1000.0,1000.0,0.0,MCLOR,nad[c] + mercplac[c] --> h[c] + nadh[c] + mercppyr[c],R03104,LDHB,ENSG00000111716,HGNC:6541,L-lactate dehydrogenase,High,Medium,True,5.2343
R_r0193,cystathionine gamma-lyase,r0193,4.4.1.1,Cysteine degradation III,L-Cysteine + H2O --> Hydrogen sulfide + Pyruvate + Ammonia,M_h2o_c + M_cys_L_c --> M_nh4_c + M_h_c + M_pyr_c + M_HC00250_c,0.0,1000.0,0.0,r0193,h2o[c] + cys_L[c] --> nh4[c] + h[c] + pyr[c] + HC00250[c],R00782,CTH,ENSG00000116761,HGNC:2501,cystathionine gamma-lyase,Low,Not detected,False,-3.3441
R_TRPO2,"tryptophan 2,3-dioxygenase",TRPO2,1.13.11.11 or 1.13.11.52,Tryptophan Metabolism ,L-Tryptophan + Oxygen --> L-Formylkynurenine,M_o2_c + M_trp_L_c --> M_Lfmkynr_c,0.0,1000.0,0.0,TRPO2,o2[c] + trp_L[c] -> Lfmkynr[c],R00678,TDO2 or IDO1,ENSG00000151790 or ENSG00000131203,HGNC:11708 or HGNC:6059,"tryptophan 2,3-dioxygenase",Not detected or Not detected,Not detected or Not detected,"FALSE, FALSE","-8.0704, -8.0704"
R_FKYNH,arylformamidase,FKYNH,3.5.1.9,Tryptophan Metabolism ,L-Formylkynurenine + H2O --> Formate + L-Kynurenine,M_h2o_c + M_Lfmkynr_c --> M_h_c + M_for_c + M_Lkynr_c,0.0,1000.0,0.0,FKYNH,h2o[c] + Lfmkynr[c] -> h[c] + for[c] + Lkynr[c],R01959,AFMID,ENSG00000183077,HGNC:20910,Kynurenine formamidase,Low,High,False,-3.3441
R_KYN3OX,kynurenine 3-monooxygenase,KYN3OX,1.14.13.9,Tryptophan Metabolism ,L-Kynurenine + Oxygen + NADPH + H+ --> 3-Hydroxy-L-kynurenine + NADP+ + H2O,M_o2_c + M_h_c + M_nadph_c + M_Lkynr_c --> M_h2o_c + M_nadp_c + M_hLkynr_c,0.0,1000.0,0.0,KYN3OX,o2[c] + h[c] + nadph[c] + Lkynr[c] -> h2o[c] + nadp[c] + hLkynr[c],R01960,KMO,ENSG00000117009,HGNC:6381,Kynurenine 3-monooxygenase,Not detected,Not detected,True,11.6003
R_HKYNH,kynureninase,HKYNH,3.7.1.3,Tryptophan Metabolism ,3-Hydroxy-L-kynurenine + H2O --> 3-Hydroxyanthranilate + L-Alanine,M_h2o_c + M_hLkynr_c --> M_3hanthrn_c + M_ala_L_c,-1000.0,1000.0,0.0,HKYNH,h2o[c] + hLkynr[c] -> 3hanthrn[c] + ala_L[c],R02668,KYNU,ENSG00000115919,HGNC:6469,kynureninase,Low,Low,False,-6.2297
R_3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",3HAO,1.13.11.6,Tryptophan Metabolism ,3-Hydroxyanthranilate + Oxygen --> 2-Amino-3-carboxymuconate semialdehyde,M_o2_c + M_3hanthrn_c --> M_h_c + M_cmusa_c,0.0,1000.0,0.0,3HAO,o2[c] + 3hanthrn[c] -> h[c] + cmusa[c],R02665,HAAO,ENSG00000162882,HGNC:4796,"3-hydroxyanthranilate 3,4-dioxygenase",Low,Not detected,False,-5.376
R_PCLAD,aminocarboxymuconate-semialdehyde decarboxylase,PCLAD,4.1.1.45,Tryptophan Metabolism ,2-Amino-3-carboxymuconate semialdehyde --> 2-Aminomuconate semialdehyde + CO2,M_h_c + M_cmusa_c --> M_co2_c + M_am6sa_c,0.0,1000.0,0.0,PCLAD,h[c] + cmusa[c] -> co2[c] + am6sa[c],R04323,ACMSD,ENSG00000153086,HGNC:19288,aminocarboxymuconate semialdehyde decarboxylase,Not detected,Not detected,False,-10.6961
R_r0645,aminomuconate-semialdehyde dehydrogenase,r0645,1.2.1.32,Tryptophan Metabolism ,2-Aminomuconate semialdehyde + NAD+ + H2O --> 2-Aminomuconate + H+ + NADH,M_h2o_c + M_nad_c + M_am6sa_c --> 2.0 M_h_c + M_nadh_c + M_amuco_c,0.0,1000.0,0.0,r0645,h2o[c] + nad[c] + am6sa[c] --> 2.0 h[c] + nadh[c] + amuco[c],R03889,Unknown,Unknown,Unknown,Unknown,,,,
R_AMCOXO,2-aminomuconate reductase,AMCOXO,1.5.1.-,Tryptophan Metabolism ,2-Aminomuconate + NADPH + H+ + H2O --> 2-Oxoadipate + Ammonia + NADP+,M_h2o_c + M_h_c + M_nadph_c + M_amuco_c --> M_nh4_c + M_nadp_c + M_2oxoadp_c,0.0,1000.0,0.0,AMCOXO,h2o[c] + h[c] + nadph[c] + amuco[c] -> nh4[c] + nadp[c] + 2oxoadp[c],R01938,Unknown,Unknown,Unknown,Unknown,,,,
R_AMCOXO2_MitoCore,2-aminomuconate reductase (NADH),AMCOXO2_MitoCore,1.5.1.-,Tryptophan Metabolism ,2-Aminomuconate + NADH + H+ + H2O --> 2-Oxoadipate + NH3 + NAD+,M_h2o_c + M_h_c + M_nadh_c + M_amuco_c --> M_nh4_c + M_nad_c + M_2oxoadp_c,0.0,1000.0,0.0,,,R01937,Unknown,Unknown,Unknown,Unknown,,,,
R_2OXOADPTmB_MitoCore,2-oxoadipate shuttle (cytosol/mitochondria),2OXOADPTmB_MitoCore,,Tryptophan Metabolism ,oxodicarboxylate carrier (ODC) - oxoadipate (in) for oxoglutarate (out),M_akg_m + M_2oxoadp_c + M_h_c + M_PMF_c --> M_akg_c + M_2oxoadp_m + M_h_m + M_PMF_m,0.0,1000.0,0.0,2OXOADPTm,akg[m] + 2oxoadp[c] --> akg[c] + 2oxoadp[m],,SLC25A21,ENSG00000183032,HGNC:14411,2-oxoadipate shuttle (cytosol/mitochondria),Low,Not detected,True,16.6691
R_2OXOADPTmC_MitoCore,,2OXOADPTmC_MitoCore,,Tryptophan Metabolism ,oxodicarboxylate carrier (ODC) reverse - oxoadipate (out) for oxoglutarate (in),M_akg_c + M_2oxoadp_m + M_h_c + M_PMF_c --> M_akg_m + M_2oxoadp_c + M_h_m + M_PMF_m,0.0,1000.0,0.0,2OXOADPTm,akg[m] + 2oxoadp[c] --> akg[c] + 2oxoadp[m],,SLC25A21,ENSG00000183032,HGNC:14411,2-oxoadipate shuttle (cytosol/mitochondria),Low,Not detected,True,16.6691
R_2OXOADOXm,2-oxoadipate dehydrogenase complex,2OXOADOXm,1.2.4.2 and 2.3.1.61 and 1.8.1.4,Tryptophan / Lysine Metabolism ,2-Oxoadipate + CoA + NAD+ --> Glutaryl-CoA + CO2 + NADH + H+,M_nad_m + M_2oxoadp_m + M_coa_m --> M_nadh_m + M_co2_m + M_glutcoa_m,0.0,1000.0,0.03,2OXOADOXm,nad[m] + 2oxoadp[m] + coa[m] -> nadh[m] + co2[m] + glutcoa[m],R01933  ,DHTKD1 and DLST and DLD ,ENSG00000181192 and ENSG00000119689 and ENSG00000091140,HGNC:23537 and HGNC:2911 and HGNC:2898,2-oxoadipate dehydrogenase complex,Low and High and High,Medium and Medium and High,"TRUE, TRUE, TRUE","20.7995, 37.6758, 31.2307"
R_r0541,glutaryl-CoA dehydrogenase (ETF),r0541,1.3.8.6,Tryptophan / Lysine Metabolism ,Glutaryl-CoA + Q --> QH2 + Crotonoyl-CoA + CO2,M_h_m + M_glutcoa_m + M_q10_m --> M_co2_m + M_b2coa_m + M_q10h2_m,0.0,1000.0,0.03,r0541,h[m] + glutcoa[m] + q10[m] --> co2[m] + b2coa[m] + q10h2[m],R02487,GCDH,ENSG00000105607,HGNC:4189,"Glutaryl-CoA dehydrogenase, mitochondrial",Medium,High,True,21.6769
R_SACCD3m,saccharopine dehydrogenase,SACCD3m,1.5.1.8,Lysine degradation (saccharopine pathway),"L-Lysine + 2-Oxoglutarate + NADPH + H+ --> N6-(L-1,3-Dicarboxypropyl)-L-lysine + NADP+ + H2O",M_h_m + M_nadph_m + M_akg_m + M_lys_L_m --> M_h2o_m + M_nadp_m + M_saccrp_L_m,-1000.0,1000.0,0.03,SACCD3m,h[m] + nadph[m] + akg[m] + lys_L[m] -> h2o[m] + nadp[m] + saccrp_L[m],R00716 ,AASS,ENSG00000008311,HGNC:17366,aminoadipate-semialdehyde synthase,Low,Medium,True,13.1893
R_r0525,saccharopine dehydrogenase,r0525,1.5.1.9,Lysine degradation (saccharopine pathway),"N6-(L-1,3-Dicarboxypropyl)-L-lysine+NAD++H2O-->L-Glutamate+L-2-Aminoadipate6-semialdehyde+NADH+H+",M_h2o_m + M_nad_m + M_saccrp_L_m --> M_h_m + M_nadh_m + M_glu_L_m + M_L2aadp6sa_m,-1000.0,1000.0,0.03,r0525,h2o[m] + nad[m] + saccrp_L[m] --> h[m] + nadh[m] + glu_L[m] + L2aadp6sa[m],R02313,AASS,ENSG00000008311,HGNC:17366,aminoadipate-semialdehyde synthase,Low,Medium,True,13.1893
R_AASAD3m,L-aminoadipate-semialdehyde dehydrogenase,AASAD3m,1.2.1.31,Lysine degradation (saccharopine pathway),L-2-Aminoadipate6-semialdehyde+NAD++H2O-->L-2-Aminoadipate+NADH+H+,M_h2o_m + M_nad_m + M_L2aadp6sa_m --> 2.0 M_h_m + M_nadh_m + M_L2aadp_m,0.0,1000.0,0.0207,AASAD3m,h2o[m] + nad[m] + L2aadp6sa[m] -> 2.0 h[m] + nadh[m] + L2aadp[m],R03102,ALDH7A1,ENSG00000164904,HGNC:877,"aldehyde dehydrogenase 7 family, member A1",Medium,Low,True,13.8432
R_R03103_MitoCore,L-aminoadipate-semialdehyde dehydrogenase,R03103_MitoCore,1.2.1.31,Lysine degradation (saccharopine pathway),L-2-Aminoadipate6-semialdehyde+NADP++H2O-->L-2-Aminoadipate+NADPH+H+,M_h2o_m + M_nadp_m + M_L2aadp6sa_m --> 2.0 M_h_m + M_nadph_m + M_L2aadp_m,0.0,1000.0,0.0093,r0594,h2o[c] + nad[c] + L2aadp6sa[c] -> 2.0 h[c] + nadh[c] + L2aadp[c],R03103,ALDH7A1,ENSG00000164904,HGNC:877,"aldehyde dehydrogenase 7 family, member A1",Medium,Low,True,13.8432
R_r0450,2-aminoadipate transaminase,r0450,2.6.1.39,Lysine degradation (saccharopine pathway),L-2-Aminoadipate+2-Oxoglutarate-->2-Oxoadipate+L-Glutamate,M_L2aadp_m + M_akg_m --> M_2oxoadp_m + M_glu_L_m,-1000.0,1000.0,0.03,r0450,L2aadp[m] + akg[m] --> 2oxoadp[m] + glu_L[m],R01939,AADAT,ENSG00000109576,HGNC:17929,aminoadipate aminotransferase,Low,Medium,True,13.7676
R_LYSOXc_MitoCore,L-lysine oxidase,LYSOXc_MitoCore,1.4.3.14,Lysine degradation (L-pipecolate pathway),L-Lysine + Oxygen + H2O --> 6-Amino-2-oxohexanoate + Ammonia + Hydrogen peroxide,M_h2o_c + M_o2_c + M_lys_L_c --> M_h2o2_c + M_nh4_c + M_6a2ohxnt_c,0.0,1000.0,0.0,LYSOXp,h2o[x] + o2[x] + lys_L[x] -> h2o2[x] + nh4[x] + 6a2ohxnt[x],R00447,Unknown,Unknown,Unknown,Unknown,,,,
R_PPD2CSPc_MitoCore,Non-Enzymatic,PPD2CSPc_MitoCore,Non-Enzymatic,Lysine degradation (L-pipecolate pathway),6-Amino-2-oxohexanoate --> delta1-Piperideine-2-carboxylate + H2O,M_6a2ohxnt_c --> M_h2o_c + M_1pipdn2c_c,-1000.0,1000.0,0.0,PPD2CSPp,6a2ohxnt[x] -> h2o[x] + 1pipdn2c[x],R04175,Non-Enzymatic,Non-Enzymatic,Non-Enzymatic,Non-Enzymatic,,,,
R_1PPDCRc_MitoCore,pyrroline-2-carboxylate reductase,1PPDCRc_MitoCore,1.5.1.1 or 1.5.1.21,Lysine degradation (L-pipecolate pathway),delta1-Piperideine-2-carboxylate + NADH + H+ --> L-Pipecolate + NAD+,M_h_c + M_1pipdn2c_c + M_nadh_c --> M_Lpipecol_c + M_nad_c,0.0,1000.0,0.0,1PPDCRp,h[x] + 1pipdn2c[x] + nadh[x] -> Lpipecol[x] + nad[x],R02201,Unknown,Unknown,Unknown,Unknown,,,,
